id,reference
0,30.290511
1,69.923882
2,19.561991
3,72.854368
4,48.694235
5,57.128632
6,50.673435
7,72.951398
8,62.678181
9,53.938884
10,35.879222
11,67.191868
12,76.150510
13,18.120587
14,70.715959
15,77.102903
16,23.355947
17,74.449424
18,59.440735
19,90.143841
20,22.657016
21,30.497690
22,32.989753
23,43.709214
24,8.310673
25,63.646158
26,54.077596
27,34.058284
28,13.017123
29,87.317846
30,65.620872
31,35.271015
32,90.373356
33,86.480374
34,52.625612
35,79.326548
36,42.104090
37,76.697721
38,14.216855
39,42.661568
40,38.897012
41,38.386882
42,38.155636
43,29.151539
44,32.038229
45,42.071653
46,31.774503
47,50.694952
48,36.893708
49,35.413899
50,31.047976
51,8.107940
52,58.027863
53,69.640968
54,95.652571
55,60.372571
56,31.168225
57,19.566769
58,82.715466
59,90.910858
60,50.473544
61,40.535471
62,41.442445
63,37.182869
64,32.425466
65,67.887519
66,14.494673
67,27.959438
68,24.614725
69,43.019368
70,53.691451
71,47.295427
72,56.201641
73,11.270373
74,31.974897
75,48.173451
76,29.038152
77,30.955799
78,43.153211
79,76.247296
80,70.453484
81,14.606662
82,43.888936
83,73.674307
84,92.422777
85,31.373725
86,39.226189
87,13.308749
88,35.445597
89,62.052629
90,57.380315
91,39.745134
92,17.252648
93,32.461583
94,63.864131
95,36.064497
96,26.376751
97,52.470260
98,41.631705
99,59.120545
100,30.310153
101,82.385808
102,17.750237
103,31.634703
104,28.353505
105,51.621187
106,89.219249
107,49.764194
108,89.130005
109,48.625966
110,31.397418
111,20.912298
112,60.952730
113,7.193002
114,31.536527
115,47.779887
116,46.939280
117,27.430072
118,75.426057
119,81.924448
120,35.936318
121,10.287745
122,43.530288
123,28.697154
124,30.411374
125,14.184294
126,55.006749
127,28.329275
128,18.685774
129,79.658616
130,11.949985
131,22.506038
132,31.474085
133,52.470227
134,86.996796
135,26.542561
136,30.354558
137,9.950731
138,80.474597
139,40.391412
140,84.919196
141,8.352933
142,76.634805
143,57.536287
144,34.019006
145,33.876970
146,64.309240
147,76.597965
148,38.285390
149,27.693559
150,10.134417
151,67.059711
152,48.694878
153,29.111526
154,36.092213
155,25.074723
156,75.108885
157,17.880379
158,42.299322
159,91.661996
160,78.912052
161,82.134170
162,41.827916
163,36.814618
164,83.844717
165,50.500019
166,85.697476
167,47.912371
168,29.693039
169,45.552175
170,24.404048
171,10.617524
172,30.516280
173,22.875035
174,80.383950
175,39.933008
176,33.386267
177,38.668455
178,47.887024
179,83.100132
180,17.723824
181,49.606560
182,72.431539
183,92.311876
184,34.403135
185,33.039584
186,7.673573
187,9.312227
188,83.076152
189,46.177370
190,85.786226
191,90.968830
192,7.842739
193,35.233299
194,41.819409
195,70.869471
196,15.568870
197,66.013314
198,23.169819
199,8.989494
200,93.836750
201,82.016384
202,74.908213
203,65.333025
204,78.789051
205,66.511937
206,76.978811
207,63.563773
208,12.567270
209,50.494168
210,27.969681
211,28.045151
212,16.803386
213,83.241020
214,19.916709
215,28.878069
216,41.831876
217,74.581555
218,24.479706
219,26.956908
220,32.868061
221,67.493635
222,41.024711
223,58.503061
224,73.000404
225,70.691146
226,3.773976
227,49.676576
228,23.467385
229,47.447998
230,49.980463
231,43.497097
232,65.152560
233,84.556548
234,38.535557
235,56.340837
236,47.382089
237,48.247554
238,60.397733
239,46.719683
240,74.274495
241,3.946688
242,21.114534
243,25.605966
244,71.719965
245,39.089283
246,38.896912
247,33.065769
248,9.953263
249,88.806706
250,35.499541
251,65.679373
252,52.429615
253,27.872199
254,14.202200
255,25.850788
256,54.398001
257,35.686912
258,30.628508
259,11.286418
260,62.507642
261,31.490925
262,48.866588
263,32.710509
264,74.450570
265,74.067180
266,90.469435
267,35.354298
268,54.416607
269,90.047948
270,73.757590
271,59.036431
272,33.968409
273,37.305500
274,28.903854
275,39.649324
276,60.781185
277,63.895581
278,42.574216
279,30.945261
280,54.537173
281,29.130033
282,62.644404
283,30.178874
284,52.574506
285,35.090838
286,10.967215
287,52.269739
288,52.969858
289,74.636363
290,82.772789
291,34.313412
292,62.813262
293,40.188175
294,30.742049
295,78.426884
296,12.991351
297,28.598248
298,15.324370
299,49.996898
300,85.367899
301,82.629868
302,50.560434
303,16.057451
304,43.743695
305,50.282524
306,36.383618
307,44.275763
308,19.907552
309,79.132060
310,22.608780
311,37.318075
312,31.319771
313,73.190951
314,79.621486
315,47.784383
316,49.693197
317,36.528675
318,92.206833
319,9.010042
320,34.378679
321,46.119910
322,31.843387
323,28.946222
324,58.335322
325,67.652118
326,43.406422
327,55.109617
328,22.863675
329,44.380442
330,50.775524
331,68.340332
332,49.585203
333,35.329714
334,57.514900
335,53.188361
336,16.664299
337,66.578381
338,26.885924
339,24.171061
340,32.174740
341,34.039184
342,27.298732
343,44.637671
344,49.517662
345,19.359926
346,25.757131
347,8.297329
348,21.445545
349,27.314807
350,43.719803
351,27.638651
352,56.780877
353,62.533594
354,20.578353
355,55.532623
356,78.891448
357,30.001988
358,90.063858
359,26.948606
360,22.109637
361,6.133146
362,39.880269
363,85.697447
364,32.236710
365,49.434016
366,36.157425
367,49.375107
368,33.906582
369,68.208437
370,70.760290
371,31.050724
372,10.170798
373,35.168685
374,25.062037
375,10.181198
376,26.668317
377,37.519695
378,88.306514
379,45.602384
380,12.307856
381,9.043017
382,91.794409
383,52.271227
384,80.842233
385,46.374908
386,70.666473
387,36.208205
388,29.664920
389,36.407905
390,30.657903
391,51.500072
392,44.984750
393,67.169216
394,14.978510
395,34.055629
396,60.242710
397,32.357745
398,48.115043
399,26.441489
400,23.910048
401,85.079861
402,33.605439
403,9.773585
404,51.894595
405,30.992940
406,28.697102
407,52.848396
408,50.960751
409,39.962819
410,46.867344
411,33.814580
412,34.739114
413,25.110902
414,78.669443
415,70.069270
416,9.796747
417,57.116200
418,81.659022
419,44.659695
420,77.660478
421,66.368461
422,39.097968
423,82.944209
424,90.478165
425,17.374946
426,8.923262
427,45.733820
428,19.335408
429,57.443447
430,24.362045
431,22.514067
432,57.904744
433,25.483347
434,60.945888
435,85.950228
436,21.591250
437,76.407333
438,47.684953
439,39.018070
440,58.480593
441,32.527005
442,17.377334
443,44.049249
444,29.324079
445,36.985533
446,33.381776
447,68.393235
448,45.218255
449,69.247871
450,76.617796
451,6.570836
452,48.412899
453,30.387840
454,37.336016
455,28.898063
456,11.556485
457,15.655157
458,49.209621
459,76.764784
460,82.520339
461,14.472293
462,31.367886
463,34.779809
464,80.365573
465,46.555902
466,46.501811
467,27.577703
468,45.953519
469,63.368892
470,21.048125
471,74.362576
472,10.009190
473,29.102450
474,31.194701
475,28.768851
476,49.143223
477,47.670977
478,39.712055
479,69.427086
480,26.992707
481,51.560583
482,45.528323
483,52.657279
484,34.524651
485,81.735309
486,13.493388
487,57.636503
488,43.956092
489,39.878202
490,31.813893
491,53.726820
492,89.649071
493,87.331334
494,75.009949
495,54.382023
496,45.174049
497,38.424030
498,26.705686
499,86.033559
500,88.425280
501,34.855588
502,90.418865
503,79.588739
504,90.200724
505,87.467208
506,86.372649
507,35.423387
508,27.165009
509,30.077803
510,45.362738
511,15.432044
512,32.801867
513,22.826086
514,15.607768
515,41.858102
516,34.150261
517,66.889025
518,39.290744
519,22.307748
520,84.970613
521,50.405132
522,67.467570
523,84.388312
524,32.038303
525,69.196233
526,35.163079
527,45.477786
528,69.975305
529,48.652142
530,33.700619
531,82.262709
532,34.220688
533,49.562068
534,30.161267
535,61.870713
536,54.784447
537,25.444216
538,51.082893
539,83.964544
540,29.089514
541,67.437118
542,80.732383
543,25.670744
544,94.941279
545,46.920823
546,50.990074
547,48.286538
548,65.629708
549,32.016226
550,21.957560
551,84.228987
552,37.666988
553,33.038518
554,47.806699
555,7.549337
556,71.741970
557,88.516318
558,79.925815
559,57.934189
560,38.476177
561,32.882299
562,61.215210
563,56.989528
564,55.282369
565,27.398769
566,79.831420
567,31.024104
568,64.516630
569,18.798914
570,28.974679
571,85.552899
572,45.377175
573,70.092334
574,15.747714
575,91.313995
576,11.846154
577,65.662416
578,65.321037
579,42.446026
580,39.924025
581,48.563289
582,45.644822
583,49.995588
584,20.943985
585,62.068096
586,52.712918
587,27.537610
588,89.111336
589,64.089958
590,78.677274
591,33.291212
592,50.060971
593,35.320289
594,56.259386
595,44.648379
596,31.767507
597,47.359452
598,86.251269
599,27.781024
600,81.558973
601,30.927282
602,65.799488
603,47.225938
604,49.487315
605,10.803453
606,93.792735
607,39.550968
608,15.292663
609,39.174135
610,53.524978
611,49.459595
612,74.694109
613,13.072642
614,58.689171
615,35.228828
616,11.790634
617,53.166847
618,52.720546
619,17.291657
620,45.934935
621,49.189887
622,33.706015
623,51.756352
624,55.778039
625,48.593475
626,27.319716
627,46.287370
628,30.279780
629,34.177042
630,47.795794
631,73.579689
632,54.809477
633,53.218524
634,69.880637
635,71.696301
636,57.465562
637,33.106378
638,14.301567
639,40.883998
640,15.774824
641,29.243012
642,34.764956
643,40.907810
644,48.175882
645,83.692173
646,32.813565
647,49.147211
648,51.208547
649,53.114597
650,30.890739
651,62.659164
652,43.881121
653,46.299980
654,40.200250
655,15.438001
656,75.711427
657,76.920263
658,31.657230
659,57.564556
660,25.886010
661,39.106495
662,30.454796
663,83.792385
664,82.624651
665,88.722842
666,34.195144
667,14.473500
668,48.869389
669,28.011712
670,20.583207
671,88.546759
672,14.242805
673,27.256358
674,50.848730
675,94.691019
676,36.717375
677,90.865658
678,8.069047
679,27.687274
680,37.922406
681,71.152865
682,14.306003
683,10.156842
684,53.358016
685,56.116378
686,57.606926
687,53.143247
688,26.842472
689,57.159025
690,57.049697
691,11.515992
692,66.505643
693,7.356613
694,80.900126
695,58.411038
696,9.559433
697,50.221598
698,8.131577
699,89.287326
700,23.699420
701,38.608332
702,33.173331
