id,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,value48,value49,value50,value51,value52,value53,value54,value55,value56,value57,value58,value59,value60,value61,value62,value63,value64,value65,value66,value67,value68,value69,value70,value71,value72,value73,value74,value75,value76,value77,value78,value79,value80,value81,value82,value83,value84,value85,value86,value87,value88,value89,value90,value91,value92,value93,value94,value95,value96,value97,value98,value99,value100,value101,value102,value103,value104,value105,value106,value107,value108,value109,value110,value111,value112,value113,value114,value115,value116,value117,value118,value119,value120,value121,value122,value123,value124,value125,value126,value127,value128,value129,value130,value131,value132,value133,value134,value135,value136,value137,value138,value139,value140,value141,value142,value143,value144,value145,value146,value147,value148,value149,value150,value151,value152,value153,value154,value155,value156,value157,value158,value159,value160,value161,value162,value163,value164,value165,value166,value167,value168,value169,value170,value171,value172,value173,value174,value175,value176,value177,value178,value179,value180,value181,value182,value183,value184,value185,value186,value187,value188,value189,value190,value191,value192,value193,value194,value195,value196,value197,value198,value199,value200,value201,value202,value203,value204,value205,value206,value207,value208,value209,value210,value211,value212,value213,value214,value215,value216,value217,value218,value219,value220,value221,value222,value223,value224,value225,value226,value227,value228,value229,value230,value231,value232,value233,value234,value235,value236,value237,value238,value239,value240,value241,value242,value243,value244,value245,value246,value247,value248,value249,value250,value251,value252,value253,value254,value255,value256,value257,value258,value259,value260,value261,value262,value263,value264,value265,value266,value267,value268,value269,value270,value271,value272,value273,value274,value275,value276,value277,value278,value279,value280,value281,value282,value283,value284,value285,value286,value287,value288,value289,value290,value291,value292,value293,value294,value295,value296,value297,value298,value299,value300,value301,value302,value303,value304,value305,value306,value307,value308,value309,value310,value311,value312,value313,value314,value315,value316,value317,value318,value319,value320,value321,value322,value323,value324,value325,value326,value327,value328,value329,value330,value331,value332,value333,value334,value335,value336,value337,value338,value339,value340,value341,value342,value343,value344,value345,value346,value347,value348,value349,value350,value351,value352,value353,value354,value355,value356,value357,value358,value359,value360,value361,value362,value363,value364,value365,value366,value367,value368,value369,value370,value371,value372,value373,value374,value375,value376,value377,value378,value379,value380,value381,value382,value383,reference
0,0,0,0,0,0,0.1563,0.781372,0,-0.25,-0.25,0,0,0,0,0,0.273234,0.402985,0,0,0,0,0,0,0,0,0.375252,0.392103,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0.447492,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0.271468,0.260586,0,0,0,0,0,0,0,0,0,0.174784,0,0,0,0,0,0,0,0,0,0.76431,0,0,-0.25,0,0,0,0,0,0,0.856114,0,0,-0.25,0,0,0,0,0,0.179393,0.810577,0,0,0,0,0,0,0,0,0.69582,0.81475,0,0.08558,0,0,0,0,0,0,0.218101,0,0,0,-0.25,0.082687,0.816704,0.549199,0,0,0,0,-0.25,-0.25,-0.25,0.153061,0.939889,0.709391,0.852941,0.37931,0,-0.25,-0.25,-0.25,-0.25,0,0.912768,0.769952,0.881332,0.622326,0,-0.25,-0.25,-0.25,-0.25,0,0.836502,0.400589,0.405481,0.290167,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.622106,0.156709,0,0,-0.25,0,0,0,0,0,0.764901,0.853171,0,0.122699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363561,0.752941,0,-0.25,-0.25,0,0,0.987112,0.999652,0.999993,0.976359,0,-0.25,0,0,0,0.914507,0.999813,0,0,0,0,0,0,0,0.992404,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0.955585,0,-0.25,-0.25,-0.25,0,0,0.994272,0.99982,0.990344,0,-0.25,-0.25,0,0,0.999544,0.999965,0.99981,0.956388,0,0,0,0.999047,0.99999,0.999955,0.999999,0.995976,0,0,0.992038,0.99995,0.999982,0.999989,0.999999,0.997275,0,-0.25,0.999522,0.999977,0.999942,0.999976,0.999997,0.993428,0,-0.25,0.999782,0.999961,0.99991,0.999972,0.999981,0.982734,0,0,0.99982,0.999999,0.999999,0.99993,0.999208,0,0,0,0.999158,0.998589,0.998804,0.989943,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0.998064,0.993813,0,0,-0.25,-0.25,0,0.991108,0.99997,0.999962,0.999353,0,0,0,0,0.998481,0.999874,0.999971,0.999965,0.982397,0,0,0,0.981227,0.999788,0.999939,0.999986,0.984081,0,-0.25,48.092569
1,0,0,0,0,0,0.797881,0.330237,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244334,0.188235,0,0,-0.25,0,0,0,0,0,0.824342,0,0,-0.25,-0.25,0,0,0,0,0,0.786239,0.115628,0,-0.25,-0.25,0,0,0,0,0,0.64502,0,0,0,-0.25,0,0,0,0,0,0.558026,0,0,0,0,0,0,0,0,0,0.932161,0,0,0,0,0,0.373057,0,0,0.303271,0.810861,0,0,-0.25,-0.25,0.355731,0.804944,0.817487,0.800766,0,0,0,-0.25,-0.25,-0.25,0.009877,0.087379,0.700337,0.909384,0.618625,0,0,-0.25,-0.25,-0.25,0,0.590273,0.730059,0.344451,0.468427,0.585409,0,0,-0.25,-0.25,0,0,0,0,0.187935,0.935317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833952,0.061985,0,0,-0.25,0,0,0,0,0,0.666457,0.0618,0,-0.25,-0.25,0.995335,0.999983,1,0.999993,0.999982,0.949771,0,-0.25,0.996512,0.999826,0.99981,0.999852,0.999994,0.993219,0,0,0.998241,0,0,0,0.992698,0.975238,0,0,0.998987,0,0,0,0,0,0,-0.25,0.998613,0,0,0,0,0,-0.25,-0.25,0.997926,0,0,0,0,0,0,-0.25,0.997724,0,0,0,0,0,0,0,0.99852,0,0,0,0.999012,0.886852,0,0,0.999792,0.998587,0,0.957581,0.999695,0,0,-0.25,0.999983,0.999999,0.999804,0.999877,0.999896,0,0,-0.25,0.999985,0.999999,0.999952,0.999992,0.999902,0,0,0,0.999981,0.999965,0.999968,1,0.999657,0,0,0,1,0.999354,0.999459,0.999425,0.986823,0,0,-0.25,0.99999,0.979217,0,0,0,0,-0.25,-0.25,0.999784,0,0.996659,0.997843,0.851906,0,0,-0.25,0.998825,0.997476,0.999952,0.999995,0.999571,0,0,0,0.998024,0.999942,0.999968,0.999973,0.999919,0,0,0,0.998121,0.999993,0.999994,0.999985,0.999949,0,0,-0.25,49.766263
2,0.14,0.754643,0.410566,0.695555,0.707024,0.86576,0.986005,0.897806,0,0,0,0,0.521406,0.960738,0.401552,0,0.541485,0,0,0,0.01194,0,0.109464,0.652206,0,0,0,0,0,0,0,0,0.757532,0.698413,0,0,0,-0.25,-0.25,-0.25,0,0,0.677904,0.566415,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0.02,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0.066667,0,0.661283,0.364155,0,-0.25,-0.25,-0.25,-0.25,-0.25,0.01194,0.015817,0.722085,0.485564,0,0,0,-0.25,-0.25,-0.25,0,0,0.180884,0.317938,0,0,0,0,0,0,0,0,0.056805,0,0,0,0,0,0,0,0.090909,0.679259,0.832448,0,0,0.565785,0,0,0,0,0.08377,0,0.536585,0,0.832058,0.953164,0.890538,0,0,0,0.199005,0.604858,0.71185,0.10898,0.80454,0.960555,0.889406,0,0,0,0.40795,0.647237,0,0,0,0.458115,0.435745,0,0,-0.25,0.68144,0.015254,0,0,0,0,0,-0.25,-0.25,-0.25,0.595469,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0.323326,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0.309013,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0.464762,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0.695965,0.140406,0,0,0,0,0,-0.25,-0.25,-0.25,0.631343,0.503795,0.019441,0.195618,0,0,0,0,0,-0.25,0.215686,0.403371,0.601635,0.720504,0.838073,0.911727,0.897033,0,0,0.183612,0,0,0.363025,0,0.90496,0.972504,0.907138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0.999608,0.912458,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0.516453,0,0,0,0,0,0,0,0,0,0,28.310992
3,0,0,0,0,0,0.429982,0,0,0,-0.25,0,0,0,0,0,0.519975,0,0,0,0,0,0,0,0,0.075896,0,0,0,0,0,0,0,0,0,0.229698,0,0,0,-0.25,-0.25,0,0,0,0,0.097279,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0.812423,0.100982,0,-0.25,-0.25,-0.25,-0.25,0,0,0.069414,0.784577,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0.692521,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0.232531,0,0,0,-0.25,-0.25,0,0,0,0,0.27556,0,0,0,0,0,0,0,0,0,0,0.030247,0,0,0,0,0,0,0,0,0,0.642738,0,0,0,-0.25,0,0,0,0,0,0.787006,0.701399,0.831737,0,-0.25,0,0,0,0,0,0.660377,0.842486,0.322068,0,0,0,0,0,0,0,0.895189,0.711819,0,0.548697,0,0,0,0,0.154799,0.884567,0.644434,0.261438,0,-0.25,-0.25,0.396117,0.646479,0.549513,0.876022,0.652568,0.782801,-0.25,-0.25,-0.25,-0.25,0.779641,0.839897,0.941434,0.632795,0,0.930233,-0.25,-0.25,-0.25,-0.25,0.78337,0.791726,0.927501,0.639551,0,0,-0.25,-0.25,-0.25,-0.25,0.597561,0.585714,0.868813,0.673483,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0.188791,0.842497,0.905475,0.455651,0.067298,0,-0.25,-0.25,0,0,0,0,0.213144,0.48578,0.879043,0,0.130719,0,0,0,0,0,0,0.865153,0,0,0,0.270694,0,0,0,0,0,0.624594,0,0.432425,0.865239,-0.25,0.99622,0.996186,0.999853,0.999994,0.999543,0,0,0,0,0.999326,0.999978,0.999999,0.998986,0,0,0,0,0.999456,0.999956,0.999975,0.992278,0,0,-0.25,0,0.999475,0.999997,0.998909,0,-0.25,-0.25,-0.25,0,0.998006,0.999864,0,0,-0.25,-0.25,-0.25,0,0,0.999683,0.989782,0,-0.25,-0.25,-0.25,0,0.954975,0.999945,0.999609,0,0,0,-0.25,0,0.995964,0.99993,0.999983,0.994212,0,0,0,0,0.994962,0.999701,0.999995,0.999176,0,0,0,0.999176,0.999315,0.999835,0.99998,0.999458,0,0,0,0.999832,0.999898,0.99994,0.999996,0.999223,0,0.801254,0.958163,0.998972,1,1,0.999924,0.994396,0,0,-0.25,0.99584,0.999004,0.999256,0.991604,0,-0.25,-0.25,-0.25,0.981645,0,0,0,0,-0.25,-0.25,-0.25,0.995105,0.977343,0.987263,0,0,-0.25,-0.25,-0.25,0.997806,0.999311,0.99997,0.999507,0.959805,0,0,-0.25,0.99917,0.999429,0.99995,0.999994,0.998891,0,0,0,0.999395,0,0.999945,1,0.999499,0,0,0,39.985622
4,0,0,0,0,0,0.516152,0,0,-0.25,-0.25,0,0.331579,0.345946,0,0,0,0,0,0,-0.25,0,0,0,0,0.110176,0.034242,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0.012903,0.017045,0,0.326087,0.085039,0,-0.25,-0.25,-0.25,-0.25,0.129032,0.534483,0,0.433353,0.528333,0,-0.25,-0.25,-0.25,-0.25,0.447205,0.578804,0,0,0,0,0,-0.25,-0.25,-0.25,0.954086,0.4375,0,0,0,0,0,0,0,-0.25,0.995388,0.534483,0,0,0.057279,0,0,0,0,0,0.846416,0.238235,0,0,0.197531,0,0,0,0,-0.25,0,0.049632,0,0,0,0.7408,0,0,-0.25,-0.25,0,0,0,0,0,0.524517,0.792381,0.882668,-0.25,-0.25,0,0,0,0,0,0.778176,0.863979,0,0,-0.25,0,0,0,0,0,0.066261,0.558873,0,0,0,0,0,0,0.025025,0.818323,0,0,0,0,-0.25,0,0.305707,0.713466,0.888906,0.509216,0,0,-0.25,-0.25,-0.25,0,0,0.823055,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0.847084,0.306859,0,0,-0.25,-0.25,-0.25,-0.25,0,0.732422,0.83377,0.842418,0,0,0,-0.25,-0.25,-0.25,0,0,0,0.770595,0.932592,0.520723,0,0,0,-0.25,0.046784,0,0,0,0,0.731786,0.737502,0,0,0,0.012346,0.016544,0,0,0,0.751705,0.857476,0.042654,0,-0.25,0,0,0,0,0,0.674699,0.743935,0.919823,-0.25,-0.25,0.998854,0,0.99971,0.999979,0.998723,0,0,-0.25,0.98517,0.996809,0.999842,0.999992,0.998165,0,0,0,0,0.99584,0.999821,0.999977,0.991037,0,0,0,0,0,0.999711,0.99967,0,0,-0.25,-0.25,0,0,0.991479,0.997309,0,-0.25,-0.25,-0.25,0,0,0.996706,0.998383,0,0,-0.25,-0.25,0,0.993675,0.99984,0.999748,0,0,0,0,0,0.993975,0.999982,0.999993,0.992308,0,0,0,0,0.997082,1,0.999994,0.998296,0,0,-0.25,0,0.997738,0.999963,0.999983,0.999057,0,0,-0.25,0.999309,0.997022,0.999554,0.999946,0.997886,0,0,0,0.999422,0.9998,0.999937,0.999826,0.955179,0,0,0,0.966733,0.998656,0.998105,0.978458,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0.966975,0.992089,0.999853,0.999324,0.761426,0,0,0,0.997058,0.996336,0.999964,0.999972,0.998343,0,0,0,0.999301,0.965388,0.999906,0.99996,0.999339,0,0,-0.25,36.06124
5,0,0,0.822762,0.899019,0.904491,0,0,0,0,-0.25,0,0,0,0.619082,0.943155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0.322171,0.511165,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0.855784,0.966961,0.412088,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0.949221,0.661504,0,0,-0.25,-0.25,-0.25,-0.25,0.059126,0.605381,0.840619,0.313676,0,0,-0.25,-0.25,-0.25,-0.25,0.444238,0.885555,0.884615,0.411636,0,0,0,0,-0.25,-0.25,0.432624,0.126404,0,0,0,0,0,0,0,0,0.557121,0,0,0.679263,0.916667,0,0,0,0,0,0,0,0.819452,0.912563,0.869265,0,0,0,0,-0.25,0,0,0.92711,0.936805,0,0,0,0,0,-0.25,0.031496,0.16205,0.916449,0.843033,0,0,0,0,0,0,0,0.470925,0.939322,0.85477,0,0,0,0,0,0,0,0,0.86782,0.877316,0,0,0,0,-0.25,-0.25,0,0.042056,0.220588,0.730563,0,0,-0.25,-0.25,-0.25,-0.25,0,0.493494,0.594453,0.861391,0,0,-0.25,-0.25,-0.25,-0.25,0,0.465374,0.565916,0.869502,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0.720222,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0.846991,0.847958,0,0,0,0,-0.25,-0.25,0,0.079412,0.907569,0.86416,0,0,0,0,0,0,0,0.117391,0.893549,0.884896,0,0,0,0,0,0,0,0,0.913743,0.93784,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.577085
6,0,0,0,0.027056,0,0.332985,0,0,0,-0.25,0,0,0,0,0,0.036814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0.100313,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0.743363,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0.160131,0,0,0,0,0,0,0,0,0,0.211859,0,0,0,0,0,0,0,0,0,0.301117,0.041803,0,0,-0.25,0,0,0,0,0,0,0.598131,0,0,-0.25,0,0,0,0,0,0,0.467836,0,0,0,0,0,0,0,0,0.103887,0,0,0.331858,0.285041,0.295165,0.112701,0,0.438027,0.375652,0,0,0,-0.25,-0.25,0.039474,0.32656,0.589528,0.101729,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0.716302,0.168269,0,0,-0.25,-0.25,-0.25,-0.25,0,0.017408,0.676056,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0.209651,0.190024,0,0,0,-0.25,-0.25,-0.25,-0.25,0.1375,0.036072,0,0,0.212546,0,0,0,-0.25,-0.25,0,0,0,0,0,0.332811,0,0,0,0,0,0,0,0,0.091216,0.211859,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.484368
7,0,0,0,0,0,0.375555,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0.242935,0,0,-0.25,-0.25,0,0,0,0,0,0.030341,0,0,-0.25,-0.25,0,0,0,0,0,0.783824,0.034595,0,0,-0.25,0,0,0,0,0,0.840161,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0.351724,0.03708,0,0,0,0,-0.25,-0.25,-0.25,0.284404,0.609141,0.875657,0.890777,0,0,-0.25,-0.25,-0.25,-0.25,0.324544,0.666,0.812798,0.879145,0.762386,0,-0.25,-0.25,-0.25,-0.25,0.043478,0.471845,0.549476,0,0.708729,0,0,-0.25,-0.25,-0.25,0,0,0,0,0.55755,0.844067,0,0,0,-0.25,0,0,0,0,0,0.32251,0,0,0,0,0,0,0,0,0,0.755235,0.794812,0,0,-0.25,0,0,0,0,0,0.631788,0.178439,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0.908157,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,57.016586
8,0.144828,0,0,0.579113,0.78369,0,0,0,0,-0.25,0.236726,0,0.115702,0,0,0,0,0,0,0,0.22093,0,0.965655,0.829921,0,0,0,0,0,0,0.33004,0.608285,0.907975,0.671618,0,0,0,0,-0.25,-0.25,0.32996,0.24937,0.912292,0,0,0,-0.25,-0.25,-0.25,-0.25,0.393281,0.498155,0.769433,0,0,0,-0.25,-0.25,-0.25,-0.25,0.647215,0.640678,0.835437,0,0,0,-0.25,-0.25,-0.25,-0.25,0.434783,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0.409266,0,0,0,0,0,0,0,-0.25,-0.25,0.478114,0,0,0,0,0,0,0,0,0,0.557121,0,0,0,0,0,0,0,0,0,0.584906,0,0,0.780488,0.903494,0,0,0,0,-0.25,0.154897,0.603939,0.879262,0.906483,0.399467,0,0,0,0,-0.25,0.808263,0.820333,0.865149,0.822306,0,0,0,0,0,0,0.937034,0.561576,0,0,0,0,0,0,0,0,0.795551,0.079412,0,0,0,0,0,0,-0.25,-0.25,0.280255,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0.456722,0.71368,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0.528771,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0.808466,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0.952191,0,0,0,0,0,0,0,-0.25,-0.25,0.874435,0.1375,0.758118,0,0,0,0,0,0,0,0.553459,0.71538,0.906657,0.432844,0,0,0,0,0,0,0.011111,0,0.858788,0.929286,0.630672,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0.970136,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.114321
9,0,0,0,0,0,0.984099,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.96876,0,0,-0.25,-0.25,0,0,0,0,0,0.982774,0.193009,0,0,0,0,0,0,0,0,0.961956,0.960572,0,0,0,0,0,0,0,0,0,0.983748,0,0,-0.25,0,0,0,0,0,0,0.981768,0,-0.25,-0.25,0,0,0,0,0,0.538462,0.984055,0,-0.25,-0.25,0,0,0,0,0,0,0.985113,0,0,-0.25,0,0,0,0,0,0.938159,0.975036,0,0,0,0,0,0,0,0,0.982417,0.709534,0,0,0,0,0,0,0,0,0.970348,0,0,-0.25,-0.25,0,0,0,0,0,0.975831,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.981362,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.977974,0.717678,0,-0.25,-0.25,0,0,0,0,0,0.960533,0.933597,0,0,0,0,0,0,0,0,0.940894,0.960576,0,0,0,0,0,0,0,0,0.937171,0.966365,0,0,-0.25,0,0,0,0,0,0.965884,0.965065,0,-0.25,-0.25,0,0,0,0,0,0.969208,0.967068,0,-0.25,-0.25,0,0,0,0,0,0.972083,0.939994,0,0,-0.25,0,0,0,0,0,0.976591,0.834727,0,0,0,0,0,0,0,0,0.979412,0.191045,0,0,0,0,0,0,0,0,0.977221,0,0,-0.25,-0.25,0,0,0,0,0,0.984579,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,8.015284
